Model Comparison Analysis
==================================================


Training with learning rate: 0.001
------------------------------

Epoch-by-epoch comparison:
 Epoch |  LR Accuracy | MLP Accuracy |     MLP Loss
    10 |       0.7601 |       0.7601 |       0.7216
    11 |       0.7645 |       0.7735 |       0.7212
    12 |       0.7705 |       0.7779 |       0.7209
    13 |       0.7720 |       0.7824 |       0.7205
    14 |       0.7869 |       0.7854 |       0.7202
    15 |       0.7988 |       0.7854 |       0.7199
    16 |       0.8077 |       0.7884 |       0.7196
    17 |       0.8197 |       0.7928 |       0.7193
    18 |       0.8256 |       0.8018 |       0.7190
    19 |       0.8301 |       0.8048 |       0.7187
    20 |       0.8316 |       0.8167 |       0.7185
    21 |       0.8331 |       0.8227 |       0.7183
    22 |       0.8420 |       0.8346 |       0.7181
    23 |       0.8495 |       0.8420 |       0.7179
    24 |       0.8525 |       0.8465 |       0.7177
    25 |       0.8584 |       0.8584 |       0.7175
    26 |       0.8584 |       0.8674 |       0.7173
    27 |       0.8614 |       0.8703 |       0.7172
    28 |       0.8629 |       0.8763 |       0.7171
    29 |       0.8674 |       0.8793 |       0.7169
    30 |       0.8689 |       0.8912 |       0.7168
    31 |       0.8703 |       0.8957 |       0.7167
    32 |       0.8763 |       0.8987 |       0.7166
    33 |       0.8793 |       0.9061 |       0.7165
    34 |       0.8852 |       0.9031 |       0.7164
    35 |       0.8882 |       0.9031 |       0.7164
    36 |       0.8897 |       0.9031 |       0.7163
    37 |       0.8912 |       0.9061 |       0.7163
    38 |       0.8912 |       0.9061 |       0.7162
    39 |       0.8912 |       0.9016 |       0.7162
    40 |       0.8942 |       0.9031 |       0.7162
    41 |       0.8957 |       0.9031 |       0.7161
    42 |       0.8972 |       0.9046 |       0.7161
    43 |       0.8972 |       0.9046 |       0.7161
    44 |       0.9001 |       0.9061 |       0.7161
    45 |       0.9016 |       0.9091 |       0.7162
    46 |       0.9046 |       0.9136 |       0.7162
    47 |       0.9076 |       0.9165 |       0.7162
    48 |       0.9091 |       0.9165 |       0.7162
    49 |       0.9106 |       0.9180 |       0.7163
    50 |       0.9106 |       0.9165 |       0.7163
    51 |       0.9106 |       0.9165 |       0.7164
    52 |       0.9151 |       0.9151 |       0.7164
    53 |       0.9165 |       0.9165 |       0.7165
    54 |       0.9165 |       0.9165 |       0.7166
    55 |       0.9180 |       0.9165 |       0.7166
    56 |       0.9180 |       0.9165 |       0.7167
    57 |       0.9180 |       0.9180 |       0.7168
    58 |       0.9210 |       0.9165 |       0.7169
    59 |       0.9225 |       0.9136 |       0.7170
    60 |       0.9225 |       0.9136 |       0.7171
    61 |       0.9255 |       0.9136 |       0.7172
    62 |       0.9270 |       0.9151 |       0.7173
    63 |       0.9285 |       0.9165 |       0.7174
    64 |       0.9300 |       0.9180 |       0.7175
    65 |       0.9300 |       0.9195 |       0.7176
    66 |       0.9300 |       0.9165 |       0.7177
    67 |       0.9314 |       0.9165 |       0.7179
    68 |       0.9314 |       0.9165 |       0.7180
    69 |       0.9329 |       0.9151 |       0.7181
    70 |       0.9329 |       0.9121 |       0.7183
    71 |       0.9344 |       0.9165 |       0.7184
    72 |       0.9359 |       0.9165 |       0.7185
    73 |       0.9359 |       0.9210 |       0.7187
    74 |       0.9389 |       0.9210 |       0.7188
    75 |       0.9389 |       0.9210 |       0.7190
    76 |       0.9389 |       0.9255 |       0.7191
    77 |       0.9389 |       0.9300 |       0.7193
    78 |       0.9404 |       0.9300 |       0.7194
    79 |       0.9404 |       0.9300 |       0.7196
    80 |       0.9404 |       0.9285 |       0.7198
    81 |       0.9404 |       0.9270 |       0.7199
    82 |       0.9419 |       0.9270 |       0.7201
    83 |       0.9419 |       0.9255 |       0.7203
    84 |       0.9419 |       0.9270 |       0.7204
    85 |       0.9419 |       0.9270 |       0.7206
    86 |       0.9419 |       0.9225 |       0.7208
    87 |       0.9419 |       0.9210 |       0.7210
    88 |       0.9419 |       0.9195 |       0.7211
    89 |       0.9419 |       0.9195 |       0.7213
    90 |       0.9434 |       0.9210 |       0.7215
    91 |       0.9434 |       0.9255 |       0.7217
    92 |       0.9463 |       0.9255 |       0.7219
    93 |       0.9463 |       0.9270 |       0.7221
    94 |       0.9478 |       0.9270 |       0.7223
    95 |       0.9493 |       0.9255 |       0.7224
    96 |       0.9493 |       0.9255 |       0.7226
    97 |       0.9493 |       0.9255 |       0.7228
    98 |       0.9493 |       0.9225 |       0.7230
    99 |       0.9493 |       0.9225 |       0.7232
   100 |       0.9493 |       0.9225 |       0.7234

Training with learning rate: 0.1
------------------------------

Epoch-by-epoch comparison:
 Epoch |  LR Accuracy | MLP Accuracy |     MLP Loss
--------------------------------------------------
     1 |       0.6826 |       0.4829 |       0.7150
     2 |       0.8197 |       0.4888 |       0.7119
     3 |       0.8674 |       0.5022 |       0.7091
     4 |       0.8972 |       0.5186 |       0.7065
     5 |       0.9151 |       0.5425 |       0.7041
     6 |       0.9300 |       0.5782 |       0.7021
     7 |       0.9359 |       0.6051 |       0.7004
     8 |       0.9419 |       0.6677 |       0.6990
     9 |       0.9478 |       0.6960 |       0.6982
    10 |       0.9493 |       0.6975 |       0.6977
    11 |       0.9523 |       0.7034 |       0.6975
    12 |       0.9553 |       0.7154 |       0.6977
    13 |       0.9553 |       0.7124 |       0.6980
    14 |       0.9553 |       0.7183 |       0.6984
    15 |       0.9568 |       0.7541 |       0.6990
    16 |       0.9583 |       0.7928 |       0.6997
    17 |       0.9583 |       0.8286 |       0.7005
    18 |       0.9598 |       0.8495 |       0.7013
    19 |       0.9613 |       0.8584 |       0.7022
    20 |       0.9627 |       0.8614 |       0.7032
    21 |       0.9642 |       0.8629 |       0.7042
    22 |       0.9642 |       0.8763 |       0.7053
    23 |       0.9642 |       0.8912 |       0.7065
    24 |       0.9657 |       0.9016 |       0.7077
    25 |       0.9687 |       0.9076 |       0.7089
    26 |       0.9687 |       0.9121 |       0.7102
    27 |       0.9687 |       0.9151 |       0.7115
    28 |       0.9687 |       0.9180 |       0.7129
    29 |       0.9687 |       0.9195 |       0.7143
    30 |       0.9687 |       0.9210 |       0.7158
    31 |       0.9687 |       0.9240 |       0.7173
    32 |       0.9702 |       0.9225 |       0.7189
    33 |       0.9702 |       0.9255 |       0.7205
    34 |       0.9702 |       0.9255 |       0.7221
    35 |       0.9717 |       0.9255 |       0.7238
    36 |       0.9732 |       0.9255 |       0.7255
    37 |       0.9732 |       0.9255 |       0.7273
    38 |       0.9732 |       0.9270 |       0.7291
    39 |       0.9732 |       0.9255 |       0.7309
    40 |       0.9747 |       0.9255 |       0.7328
    41 |       0.9747 |       0.9255 |       0.7348
    42 |       0.9747 |       0.9270 |       0.7368
    43 |       0.9747 |       0.9300 |       0.7388
    44 |       0.9747 |       0.9329 |       0.7409
    45 |       0.9747 |       0.9329 |       0.7430
    46 |       0.9747 |       0.9374 |       0.7451
    47 |       0.9747 |       0.9374 |       0.7473
    48 |       0.9747 |       0.9389 |       0.7496
    49 |       0.9747 |       0.9389 |       0.7519
    50 |       0.9747 |       0.9404 |       0.7542
    51 |       0.9747 |       0.9434 |       0.7566
    52 |       0.9762 |       0.9449 |       0.7590
    53 |       0.9762 |       0.9449 |       0.7615
    54 |       0.9762 |       0.9463 |       0.7640
    55 |       0.9762 |       0.9463 |       0.7665
    56 |       0.9762 |       0.9493 |       0.7691
    57 |       0.9776 |       0.9493 |       0.7717
    58 |       0.9776 |       0.9508 |       0.7744
    59 |       0.9776 |       0.9508 |       0.7771
    60 |       0.9776 |       0.9508 |       0.7799
    61 |       0.9776 |       0.9523 |       0.7826
    62 |       0.9776 |       0.9523 |       0.7855
    63 |       0.9776 |       0.9523 |       0.7883
    64 |       0.9776 |       0.9538 |       0.7912
    65 |       0.9776 |       0.9568 |       0.7941
    66 |       0.9791 |       0.9598 |       0.7971
    67 |       0.9791 |       0.9627 |       0.8001
    68 |       0.9791 |       0.9627 |       0.8031
    69 |       0.9791 |       0.9627 |       0.8062
    70 |       0.9791 |       0.9627 |       0.8093
    71 |       0.9791 |       0.9642 |       0.8124
    72 |       0.9806 |       0.9657 |       0.8155
    73 |       0.9806 |       0.9672 |       0.8187
    74 |       0.9806 |       0.9672 |       0.8219
    75 |       0.9806 |       0.9672 |       0.8251
    76 |       0.9806 |       0.9672 |       0.8284
    77 |       0.9806 |       0.9702 |       0.8317
    78 |       0.9806 |       0.9702 |       0.8350
    79 |       0.9806 |       0.9702 |       0.8383
    80 |       0.9806 |       0.9732 |       0.8417
    81 |       0.9806 |       0.9732 |       0.8451
    82 |       0.9806 |       0.9747 |       0.8485
    83 |       0.9806 |       0.9747 |       0.8520
    84 |       0.9806 |       0.9762 |       0.8554
    85 |       0.9806 |       0.9762 |       0.8589
    86 |       0.9806 |       0.9762 |       0.8624
    87 |       0.9806 |       0.9776 |       0.8660
    88 |       0.9806 |       0.9776 |       0.8695
    89 |       0.9806 |       0.9791 |       0.8731
    90 |       0.9806 |       0.9791 |       0.8767
    91 |       0.9806 |       0.9791 |       0.8803
    92 |       0.9806 |       0.9791 |       0.8840
    93 |       0.9806 |       0.9791 |       0.8876
    94 |       0.9806 |       0.9791 |       0.8913
    95 |       0.9806 |       0.9791 |       0.8950
    96 |       0.9806 |       0.9791 |       0.8987
    97 |       0.9806 |       0.9791 |       0.9025
    98 |       0.9806 |       0.9791 |       0.9062
    99 |       0.9806 |       0.9791 |       0.9100
   100 |       0.9806 |       0.9791 |       0.9138

Training with learning rate: 1.0
------------------------------

Epoch-by-epoch comparison:
 Epoch |  LR Accuracy | MLP Accuracy |     MLP Loss
--------------------------------------------------
     1 |       0.6826 |       0.5633 |       0.7159
     2 |       0.8763 |       0.7213 |       0.7198
     3 |       0.8405 |       0.8376 |       0.7284
     4 |       0.9523 |       0.9151 |       0.7447
     5 |       0.9642 |       0.9478 |       0.7662
     6 |       0.9672 |       0.9657 |       0.7927
     7 |       0.9732 |       0.9747 |       0.8228
     8 |       0.9732 |       0.9776 |       0.8553
     9 |       0.9762 |       0.9791 |       0.8890
    10 |       0.9776 |       0.9791 |       0.9236
    11 |       0.9791 |       0.9806 |       0.9589
    12 |       0.9806 |       0.9821 |       0.9946
    13 |       0.9821 |       0.9836 |       1.0303
    14 |       0.9821 |       0.9866 |       1.0658
    15 |       0.9806 |       0.9866 |       1.1006
    16 |       0.9806 |       0.9866 |       1.1347
    17 |       0.9806 |       0.9866 |       1.1678
    18 |       0.9821 |       0.9881 |       1.1998
    19 |       0.9821 |       0.9881 |       1.2307
    20 |       0.9821 |       0.9881 |       1.2606
    21 |       0.9821 |       0.9881 |       1.2894
    22 |       0.9821 |       0.9881 |       1.3172
    23 |       0.9821 |       0.9881 |       1.3441
    24 |       0.9836 |       0.9896 |       1.3701
    25 |       0.9836 |       0.9911 |       1.3952
    26 |       0.9836 |       0.9911 |       1.4196
    27 |       0.9866 |       0.9940 |       1.4433
    28 |       0.9896 |       0.9940 |       1.4662
    29 |       0.9896 |       0.9940 |       1.4886
    30 |       0.9911 |       0.9940 |       1.5103
    31 |       0.9911 |       0.9940 |       1.5314
    32 |       0.9911 |       0.9940 |       1.5520
    33 |       0.9911 |       0.9940 |       1.5721
    34 |       0.9911 |       0.9940 |       1.5917
    35 |       0.9911 |       0.9940 |       1.6108
    36 |       0.9925 |       0.9940 |       1.6295
    37 |       0.9940 |       0.9940 |       1.6477
    38 |       0.9940 |       0.9940 |       1.6655
    39 |       0.9940 |       0.9940 |       1.6829
    40 |       0.9940 |       0.9940 |       1.7000
    41 |       0.9940 |       0.9940 |       1.7166
    42 |       0.9940 |       0.9955 |       1.7329
    43 |       0.9940 |       0.9955 |       1.7489
    44 |       0.9940 |       0.9955 |       1.7645
    45 |       0.9940 |       0.9955 |       1.7798
    46 |       0.9940 |       0.9955 |       1.7948
    47 |       0.9940 |       0.9955 |       1.8095
    48 |       0.9940 |       0.9955 |       1.8239
    49 |       0.9940 |       0.9955 |       1.8381
    50 |       0.9940 |       0.9955 |       1.8519
    51 |       0.9940 |       0.9955 |       1.8655
    52 |       0.9940 |       0.9955 |       1.8789
    53 |       0.9940 |       0.9955 |       1.8920
    54 |       0.9940 |       0.9955 |       1.9048
    55 |       0.9940 |       0.9955 |       1.9175
    56 |       0.9940 |       0.9955 |       1.9299
    57 |       0.9940 |       0.9955 |       1.9421
    58 |       0.9955 |       0.9955 |       1.9541
    59 |       0.9955 |       0.9955 |       1.9659
    60 |       0.9955 |       0.9955 |       1.9775
    61 |       0.9955 |       0.9955 |       1.9889
    62 |       0.9955 |       0.9955 |       2.0001
    63 |       0.9955 |       0.9955 |       2.0112
    64 |       0.9955 |       0.9955 |       2.0221
    65 |       0.9955 |       0.9955 |       2.0328
    66 |       0.9955 |       0.9955 |       2.0434
    67 |       0.9955 |       0.9955 |       2.0538
    68 |       0.9955 |       0.9955 |       2.0641
    69 |       0.9955 |       0.9955 |       2.0742
    70 |       0.9955 |       0.9955 |       2.0842
    71 |       0.9955 |       0.9955 |       2.0940
    72 |       0.9955 |       0.9955 |       2.1037
    73 |       0.9955 |       0.9955 |       2.1133
    74 |       0.9955 |       0.9970 |       2.1228
    75 |       0.9955 |       0.9970 |       2.1321
    76 |       0.9955 |       0.9970 |       2.1413
    77 |       0.9955 |       0.9970 |       2.1504
    78 |       0.9955 |       0.9970 |       2.1594
    79 |       0.9955 |       0.9970 |       2.1683
    80 |       0.9955 |       0.9970 |       2.1770
    81 |       0.9955 |       0.9970 |       2.1857
    82 |       0.9955 |       0.9970 |       2.1943
    83 |       0.9955 |       0.9970 |       2.2027
    84 |       0.9955 |       0.9970 |       2.2111
    85 |       0.9955 |       0.9970 |       2.2193
    86 |       0.9955 |       0.9970 |       2.2275
    87 |       0.9955 |       0.9970 |       2.2356
    88 |       0.9955 |       0.9970 |       2.2436
    89 |       0.9955 |       0.9970 |       2.2515
    90 |       0.9955 |       0.9970 |       2.2593
    91 |       0.9955 |       0.9970 |       2.2670
    92 |       0.9955 |       0.9970 |       2.2746
    93 |       0.9955 |       0.9970 |       2.2822
    94 |       0.9955 |       0.9970 |       2.2897
    95 |       0.9955 |       0.9970 |       2.2971
    96 |       0.9955 |       0.9970 |       2.3044
    97 |       0.9955 |       0.9970 |       2.3117
    98 |       0.9955 |       0.9970 |       2.3189
    99 |       0.9955 |       0.9970 |       2.3260
   100 |       0.9955 |       0.9970 |       2.3330

Training with learning rate: 10.0
------------------------------

Epoch-by-epoch comparison:
 Epoch |  LR Accuracy | MLP Accuracy |     MLP Loss
--------------------------------------------------
     1 |       0.6826 |       0.4590 |       0.8240
     2 |       0.8420 |       0.5410 |       4.3694
     3 |       0.7958 |       0.4590 |       3.6573
     4 |       0.9493 |       0.5604 |       4.6295
     5 |       0.9672 |       0.6870 |       2.3318
     6 |       0.9672 |       0.7541 |       3.4024
     7 |       0.9672 |       0.8778 |       3.1576
     8 |       0.9657 |       0.9389 |       3.0356
     9 |       0.9702 |       0.9344 |       3.0139
    10 |       0.9747 |       0.9329 |       3.3628
    11 |       0.9717 |       0.9642 |       2.8969
    12 |       0.9747 |       0.9672 |       3.0704
    13 |       0.9762 |       0.9881 |       3.2458
    14 |       0.9791 |       0.9911 |       3.3536
    15 |       0.9776 |       0.9940 |       3.3930
    16 |       0.9806 |       0.9955 |       3.4301
    17 |       0.9776 |       0.9955 |       3.4596
    18 |       0.9806 |       0.9985 |       3.4837
    19 |       0.9806 |       1.0000 |       3.5039
    20 |       0.9806 |       1.0000 |       3.5214
    21 |       0.9806 |       1.0000 |       3.5379
    22 |       0.9806 |       1.0000 |       3.5540
    23 |       0.9806 |       1.0000 |       3.5696
    24 |       0.9806 |       1.0000 |       3.5846
    25 |       0.9821 |       1.0000 |       3.5992
    26 |       0.9821 |       1.0000 |       3.6134
    27 |       0.9851 |       1.0000 |       3.6274
    28 |       0.9866 |       1.0000 |       3.6412
    29 |       0.9881 |       1.0000 |       3.6549
    30 |       0.9881 |       1.0000 |       3.6683
    31 |       0.9896 |       1.0000 |       3.6816
    32 |       0.9896 |       1.0000 |       3.6947
    33 |       0.9911 |       1.0000 |       3.7077
    34 |       0.9896 |       1.0000 |       3.7204
    35 |       0.9896 |       1.0000 |       3.7330
    36 |       0.9911 |       1.0000 |       3.7454
    37 |       0.9911 |       1.0000 |       3.7577
    38 |       0.9925 |       1.0000 |       3.7698
    39 |       0.9911 |       1.0000 |       3.7819
    40 |       0.9925 |       1.0000 |       3.7938
    41 |       0.9925 |       1.0000 |       3.8057
    42 |       0.9925 |       1.0000 |       3.8174
    43 |       0.9925 |       1.0000 |       3.8291
    44 |       0.9940 |       1.0000 |       3.8406
    45 |       0.9940 |       1.0000 |       3.8521
    46 |       0.9940 |       1.0000 |       3.8633
    47 |       0.9940 |       1.0000 |       3.8744
    48 |       0.9940 |       1.0000 |       3.8854
    49 |       0.9940 |       1.0000 |       3.8961
    50 |       0.9940 |       1.0000 |       3.9066
    51 |       0.9940 |       1.0000 |       3.9168
    52 |       0.9940 |       1.0000 |       3.9269
    53 |       0.9940 |       1.0000 |       3.9367
    54 |       0.9940 |       1.0000 |       3.9462
    55 |       0.9940 |       1.0000 |       3.9555
    56 |       0.9940 |       1.0000 |       3.9647
    57 |       0.9940 |       1.0000 |       3.9736
    58 |       0.9940 |       1.0000 |       3.9824
    59 |       0.9940 |       1.0000 |       3.9910
    60 |       0.9940 |       1.0000 |       3.9995
    61 |       0.9940 |       1.0000 |       4.0079
    62 |       0.9940 |       1.0000 |       4.0161
    63 |       0.9940 |       1.0000 |       4.0242
    64 |       0.9940 |       1.0000 |       4.0323
    65 |       0.9940 |       1.0000 |       4.0403
    66 |       0.9940 |       1.0000 |       4.0481
    67 |       0.9940 |       1.0000 |       4.0559
    68 |       0.9940 |       1.0000 |       4.0637
    69 |       0.9940 |       1.0000 |       4.0713
    70 |       0.9940 |       1.0000 |       4.0789
    71 |       0.9940 |       1.0000 |       4.0864
    72 |       0.9940 |       1.0000 |       4.0938
    73 |       0.9940 |       1.0000 |       4.1012
    74 |       0.9940 |       1.0000 |       4.1085
    75 |       0.9940 |       1.0000 |       4.1157
    76 |       0.9940 |       1.0000 |       4.1228
    77 |       0.9940 |       1.0000 |       4.1298
    78 |       0.9940 |       1.0000 |       4.1368
    79 |       0.9940 |       1.0000 |       4.1436
    80 |       0.9940 |       1.0000 |       4.1504
    81 |       0.9940 |       1.0000 |       4.1571
    82 |       0.9940 |       1.0000 |       4.1637
    83 |       0.9940 |       1.0000 |       4.1703
    84 |       0.9940 |       1.0000 |       4.1768
    85 |       0.9940 |       1.0000 |       4.1832
    86 |       0.9940 |       1.0000 |       4.1895
    87 |       0.9940 |       1.0000 |       4.1957
    88 |       0.9940 |       1.0000 |       4.2020
    89 |       0.9940 |       1.0000 |       4.2081
    90 |       0.9940 |       1.0000 |       4.2142
    91 |       0.9940 |       1.0000 |       4.2202
    92 |       0.9940 |       1.0000 |       4.2262
    93 |       0.9940 |       1.0000 |       4.2321
    94 |       0.9940 |       1.0000 |       4.2380
    95 |       0.9940 |       1.0000 |       4.2439
    96 |       0.9940 |       1.0000 |       4.2496
    97 |       0.9940 |       1.0000 |       4.2554
    98 |       0.9940 |       1.0000 |       4.2610
    99 |       0.9940 |       1.0000 |       4.2667
   100 |       0.9940 |       1.0000 |       4.2722


Summary Statistics
==================================================

Learning Rate | LR Accuracy  | MLP Accuracy | MLP Time (s) |    MLP FLOPs   
--------------------------------------------------------------------------------
 1.000e-03   |    0.7630    |    0.4128    |    0.116     |    9.47e+06    
 1.000e-02   |    0.9493    |    0.9225    |    0.110     |    9.47e+06    
 1.000e-01   |    0.9806    |    0.9791    |    0.105     |    9.47e+06    
 1.000e+00   |    0.9955    |    0.9970    |    0.113     |    9.47e+06    
 1.000e+01   |    0.9940    |    1.0000    |    0.114     |    9.47e+06    
