SGD Performance Analysis
==================================================


Training with batch size: 1
------------------------------

Epoch-by-epoch accuracy:
 Epoch |     Accuracy
    16 |       0.9955
    17 |       0.9970
    18 |       0.9955
    19 |       0.9970
    20 |       0.9970
    21 |       0.9970
    22 |       0.9970
    23 |       0.9821
    24 |       0.9896
    25 |       0.9970
    26 |       0.9911
    27 |       0.9970
    28 |       0.9985
    29 |       0.9970
    30 |       0.9806
    31 |       0.9806
    32 |       0.9970
    33 |       0.9925
    34 |       0.9970
    35 |       0.9627
    36 |       0.9970
    37 |       0.9896
    38 |       0.9940
    39 |       0.9970
    40 |       0.9955
    41 |       0.9985
    42 |       0.9940
    43 |       0.9985
    44 |       0.9970
    45 |       0.9970
    46 |       0.9940
    47 |       0.9970
    48 |       0.9970
    49 |       0.9866
    50 |       0.9955
    51 |       0.9970
    52 |       0.9940
    53 |       0.9806
    54 |       0.9970
    55 |       0.9911
    56 |       0.9970
    57 |       0.9970
    58 |       0.9940
    59 |       0.9970
    60 |       0.9955
    61 |       0.9955
    62 |       0.9940
    63 |       0.9881
    64 |       0.9970
    65 |       0.9970
    66 |       0.9955
    67 |       0.9940
    68 |       0.9866
    69 |       0.9970
    70 |       0.9940
    71 |       0.9955
    72 |       0.9970
    73 |       0.9940
    74 |       0.9762
    75 |       0.9911
    76 |       0.9970
    77 |       0.9970
    78 |       0.9776
    79 |       0.9747
    80 |       0.9970
    81 |       0.9985
    82 |       0.9821
    83 |       0.9970
    84 |       0.9970
    85 |       0.9702
    86 |       0.9970
    87 |       0.9940
    88 |       0.9970
    89 |       0.9940
    90 |       0.9970
    91 |       0.9970
    92 |       0.9970
    93 |       0.9970
    94 |       0.9970
    95 |       0.9970
    96 |       0.9955
    97 |       0.9940
    98 |       0.9970
    99 |       0.9896
   100 |       0.9970

Training with batch size: 16
------------------------------

Epoch-by-epoch accuracy:
 Epoch |     Accuracy
-------------------------
     1 |       0.9747
     2 |       0.9806
     3 |       0.9940
     4 |       0.9955
     5 |       0.9955
     6 |       0.9955
     7 |       0.9955
     8 |       0.9955
     9 |       0.9881
    10 |       0.9940
    11 |       0.9836
    12 |       0.9970
    13 |       0.9970
    14 |       0.9970
    15 |       0.9955
    16 |       0.9598
    17 |       0.9970
    18 |       0.9955
    19 |       0.9911
    20 |       0.9970
    21 |       0.9970
    22 |       0.9970
    23 |       0.9955
    24 |       0.9970
    25 |       0.9970
    26 |       0.9940
    27 |       0.9940
    28 |       0.9955
    29 |       0.9955
    30 |       0.9940
    31 |       0.9970
    32 |       0.9896
    33 |       0.9970
    34 |       0.9970
    35 |       0.9970
    36 |       0.9970
    37 |       0.9970
    38 |       0.9970
    39 |       0.9970
    40 |       0.9940
    41 |       0.9940
    42 |       0.9955
    43 |       0.9970
    44 |       0.9955
    45 |       0.9970
    46 |       0.9970
    47 |       0.9970
    48 |       0.9970
    49 |       0.9970
    50 |       0.9970
    51 |       0.9970
    52 |       0.9970
    53 |       0.9970
    54 |       0.9970
    55 |       0.9970
    56 |       0.9970
    57 |       0.9970
    58 |       0.9970
    59 |       0.9940
    60 |       0.9925
    61 |       0.9970
    62 |       0.9985
    63 |       0.9970
    64 |       0.9970
    65 |       0.9925
    66 |       0.9970
    67 |       0.9985
    68 |       0.9970
    69 |       0.9970
    70 |       0.9970
    71 |       0.9970
    72 |       0.9970
    73 |       0.9970
    74 |       0.9970
    75 |       0.9970
    76 |       0.9970
    77 |       0.9970
    78 |       0.9970
    79 |       0.9955
    80 |       0.9970
    81 |       0.9955
    82 |       0.9970
    83 |       0.9970
    84 |       0.9955
    85 |       0.9925
    86 |       0.9970
    87 |       0.9970
    88 |       0.9955
    89 |       0.9911
    90 |       0.9970
    91 |       0.9970
    92 |       0.9970
    93 |       0.9970
    94 |       0.9970
    95 |       0.9970
    96 |       0.9955
    97 |       0.9970
    98 |       0.9970
    99 |       0.9925
   100 |       0.9925

Training with batch size: 64
------------------------------

Epoch-by-epoch accuracy:
 Epoch |     Accuracy
-------------------------
     1 |       0.9732
     2 |       0.9806
     3 |       0.9925
     4 |       0.9911
     5 |       0.9955
     6 |       0.9955
     7 |       0.9940
     8 |       0.9940
     9 |       0.9940
    10 |       0.9955
    11 |       0.9940
    12 |       0.9955
    13 |       0.9896
    14 |       0.9970
    15 |       0.9896
    16 |       0.9955
    17 |       0.9970
    18 |       0.9955
    19 |       0.9970
    20 |       0.9955
    21 |       0.9955
    22 |       0.9955
    23 |       0.9955
    24 |       0.9970
    25 |       0.9970
    26 |       0.9970
    27 |       0.9970
    28 |       0.9955
    29 |       0.9970
    30 |       0.9970
    31 |       0.9970
    32 |       0.9970
    33 |       0.9940
    34 |       0.9970
    35 |       0.9955
    36 |       0.9955
    37 |       0.9970
    38 |       0.9970
    39 |       0.9970
    40 |       0.9970
    41 |       0.9970
    42 |       0.9970
    43 |       0.9970
    44 |       0.9940
    45 |       0.9970
    46 |       0.9970
    47 |       0.9970
    48 |       0.9970
    49 |       0.9970
    50 |       0.9970
    51 |       0.9970
    52 |       0.9955
    53 |       0.9970
    54 |       0.9970
    55 |       0.9970
    56 |       0.9970
    57 |       0.9970
    58 |       0.9970
    59 |       0.9970
    60 |       0.9970
    61 |       0.9970
    62 |       0.9970
    63 |       0.9970
    64 |       0.9970
    65 |       0.9970
    66 |       0.9970
    67 |       0.9970
    68 |       0.9970
    69 |       0.9970
    70 |       0.9970
    71 |       0.9940
    72 |       0.9970
    73 |       0.9970
    74 |       0.9970
    75 |       0.9955
    76 |       0.9970
    77 |       0.9970
    78 |       0.9970
    79 |       0.9970
    80 |       0.9970
    81 |       0.9970
    82 |       0.9970
    83 |       0.9970
    84 |       0.9970
    85 |       0.9970
    86 |       0.9955
    87 |       0.9970
    88 |       0.9970
    89 |       0.9970
    90 |       0.9970
    91 |       0.9970
    92 |       0.9970
    93 |       0.9911
    94 |       0.9970
    95 |       0.9970
    96 |       0.9970
    97 |       0.9970
    98 |       0.9970
    99 |       0.9970
   100 |       0.9970

Training with batch size: 256
------------------------------

Epoch-by-epoch accuracy:
 Epoch |     Accuracy
-------------------------
     1 |       0.8390
     2 |       0.9687
     3 |       0.9613
     4 |       0.9776
     5 |       0.9806
     6 |       0.9821
     7 |       0.9836
     8 |       0.9821
     9 |       0.9851
    10 |       0.9925
    11 |       0.9925
    12 |       0.9911
    13 |       0.9940
    14 |       0.9940
    15 |       0.9955
    16 |       0.9940
    17 |       0.9940
    18 |       0.9940
    19 |       0.9955
    20 |       0.9940
    21 |       0.9955
    22 |       0.9955
    23 |       0.9955
    24 |       0.9955
    25 |       0.9940
    26 |       0.9955
    27 |       0.9955
    28 |       0.9955
    29 |       0.9955
    30 |       0.9955
    31 |       0.9955
    32 |       0.9955
    33 |       0.9955
    34 |       0.9955
    35 |       0.9955
    36 |       0.9955
    37 |       0.9955
    38 |       0.9955
    39 |       0.9955
    40 |       0.9955
    41 |       0.9955
    42 |       0.9955
    43 |       0.9955
    44 |       0.9955
    45 |       0.9955
    46 |       0.9955
    47 |       0.9955
    48 |       0.9955
    49 |       0.9955
    50 |       0.9970
    51 |       0.9955
    52 |       0.9955
    53 |       0.9955
    54 |       0.9955
    55 |       0.9955
    56 |       0.9955
    57 |       0.9970
    58 |       0.9955
    59 |       0.9970
    60 |       0.9955
    61 |       0.9970
    62 |       0.9955
    63 |       0.9970
    64 |       0.9955
    65 |       0.9955
    66 |       0.9970
    67 |       0.9970
    68 |       0.9970
    69 |       0.9970
    70 |       0.9970
    71 |       0.9970
    72 |       0.9970
    73 |       0.9970
    74 |       0.9970
    75 |       0.9970
    76 |       0.9970
    77 |       0.9970
    78 |       0.9955
    79 |       0.9970
    80 |       0.9970
    81 |       0.9970
    82 |       0.9970
    83 |       0.9970
    84 |       0.9970
    85 |       0.9970
    86 |       0.9970
    87 |       0.9970
    88 |       0.9970
    89 |       0.9970
    90 |       0.9970
    91 |       0.9970
    92 |       0.9970
    93 |       0.9970
    94 |       0.9970
    95 |       0.9970
    96 |       0.9970
    97 |       0.9970
    98 |       0.9970
    99 |       0.9970
   100 |       0.9970

Training with batch size: 671
------------------------------

Epoch-by-epoch accuracy:
 Epoch |     Accuracy
-------------------------
     1 |       0.6826
     2 |       0.8763
     3 |       0.8405
     4 |       0.9523
     5 |       0.9642
     6 |       0.9672
     7 |       0.9732
     8 |       0.9732
     9 |       0.9762
    10 |       0.9776
    11 |       0.9791
    12 |       0.9806
    13 |       0.9821
    14 |       0.9821
    15 |       0.9806
    16 |       0.9806
    17 |       0.9806
    18 |       0.9821
    19 |       0.9821
    20 |       0.9821
    21 |       0.9821
    22 |       0.9821
    23 |       0.9821
    24 |       0.9836
    25 |       0.9836
    26 |       0.9836
    27 |       0.9866
    28 |       0.9896
    29 |       0.9896
    30 |       0.9911
    31 |       0.9911
    32 |       0.9911
    33 |       0.9911
    34 |       0.9911
    35 |       0.9911
    36 |       0.9925
    37 |       0.9940
    38 |       0.9940
    39 |       0.9940
    40 |       0.9940
    41 |       0.9940
    42 |       0.9940
    43 |       0.9940
    44 |       0.9940
    45 |       0.9940
    46 |       0.9940
    47 |       0.9940
    48 |       0.9940
    49 |       0.9940
    50 |       0.9940
    51 |       0.9940
    52 |       0.9940
    53 |       0.9940
    54 |       0.9940
    55 |       0.9940
    56 |       0.9940
    57 |       0.9940
    58 |       0.9955
    59 |       0.9955
    60 |       0.9955
    61 |       0.9955
    62 |       0.9955
    63 |       0.9955
    64 |       0.9955
    65 |       0.9955
    66 |       0.9955
    67 |       0.9955
    68 |       0.9955
    69 |       0.9955
    70 |       0.9955
    71 |       0.9955
    72 |       0.9955
    73 |       0.9955
    74 |       0.9955
    75 |       0.9955
    76 |       0.9955
    77 |       0.9955
    78 |       0.9955
    79 |       0.9955
    80 |       0.9955
    81 |       0.9955
    82 |       0.9955
    83 |       0.9955
    84 |       0.9955
    85 |       0.9955
    86 |       0.9955
    87 |       0.9955
    88 |       0.9955
    89 |       0.9955
    90 |       0.9955
    91 |       0.9955
    92 |       0.9955
    93 |       0.9955
    94 |       0.9955
    95 |       0.9955
    96 |       0.9955
    97 |       0.9955
    98 |       0.9955
    99 |       0.9955
   100 |       0.9955


Summary Statistics
==================================================

 Batch Size  |  Wall Time (s)  |   FLOPs/Epoch   |   Total FLOPs  
--------------------------------------------------------------------------------
     1       |      0.699      |    1.21e+04     |    1.21e+06    
     4       |      0.172      |    1.21e+04     |    1.21e+06    
     16      |      0.047      |    1.21e+04     |    1.21e+06    
     64      |      0.016      |    1.21e+04     |    1.21e+06    
    256      |      0.008      |    1.21e+04     |    1.21e+06    
    671      |      0.006      |    1.21e+04     |    1.21e+06    
